Экологический класс	Euro 5
Колесная формула	6x4
Модель двигателя	Евро-5
Коробка передач, число передач	( 12 ступ.)
Объем топливного бака, в литрах	300
Мощность двигателя, кВт/л.с.	311/423
Шины	315/80R22.5
Тип кабины	6501 – малая с низким тоннелем
Тип платформы	П-образная
Передаточное число моста	5.08
Объем платформы, м3	15.4
Тип разгрузки	задняя
Максимальный крутящий момент, Нм	2060
Максимальная скорость, км/ч	85
Нагрузка на переднюю ось, кг	7500
Технически допустимая грузоподъёмность, кг	20050
Нагрузка на ведущую тележку мостов, кг	26000
Снаряженная масса автомобиля, кг	13450
Технически допустимая полная масса автомобиля, кг	33500
